time,windspeed_x,windspeed_y,windspeed_z,static_pressure,temperature_celsius,atmospheric_pressure_hPa
80.8039038181305,-0.58,-0.08,6.42,-1.22,31.18,999.42
80.80876994132996,-0.27,-0.34,6.33,-1.0,31.18,999.42
80.8137629032135,0.5,-0.29,6.76,-0.75,31.18,999.42
80.8188169002533,0.24,0.24,6.66,-0.45,31.18,999.42
80.82365202903748,0.08,0.11,6.11,-0.85,31.18,999.42
80.82877397537231,-0.06,0.06,6.52,-0.75,31.18,999.42
80.83376812934875,0.21,-0.14,6.45,-0.62,31.18,999.42
80.83886790275574,-0.18,0.24,6.6,-0.77,31.18,999.42
80.84380602836609,0.33,-0.03,6.29,-0.74,31.18,999.42
80.84883713722229,0.29,-0.28,6.19,-0.62,31.18,999.42
80.85383701324463,0.32,-0.13,6.57,-0.41,31.18,999.42
80.85879588127136,0.17,-0.19,6.7,-0.18,31.18,999.42
80.86407017707825,0.23,-0.18,6.55,-0.34,31.18,999.42
80.86873006820679,0.18,-0.07,6.63,-0.21,31.18,999.42
80.87385106086731,0.09,0.03,6.31,-0.51,31.18,999.42
80.8788468837738,0.26,-0.24,6.37,-0.62,31.18,999.42
80.88377690315247,0.35,-0.2,6.78,-0.56,31.18,999.42
80.88875198364258,-0.16,-0.31,6.28,-0.57,31.18,999.42
80.89350485801697,-0.1,-0.21,6.32,-0.3,31.18,999.42
80.89859795570374,0.07,-0.03,6.77,-0.65,31.18,999.42
80.90374898910522,0.12,0.05,6.66,-0.19,31.18,999.42
80.90875101089478,0.19,0.3,6.42,-0.33,31.18,999.42
80.91356682777405,0.21,0.19,6.57,-0.62,31.18,999.42
80.91871094703674,0.01,0.05,5.94,-0.85,31.18,999.42
80.92381882667542,0.09,-0.25,5.79,-0.91,31.18,999.42
80.92875099182129,0.05,-0.03,6.1,-0.8,31.18,999.42
80.93372106552124,0.08,-0.24,6.4,-0.87,31.18,999.42
80.93890810012817,-0.11,-0.42,6.28,-0.8,31.18,999.42
80.94353199005127,-0.21,-0.21,6.3,-0.66,31.18,999.42
80.94874000549316,0.27,-0.22,6.41,-0.76,31.18,999.42
80.95381689071655,-0.15,0.09,6.37,-0.72,31.18,999.42
80.95877504348755,0.15,-0.23,6.49,-0.48,31.18,999.42
80.96399712562561,0.48,-0.05,6.41,-0.92,31.18,999.42
80.96874499320984,0.38,-0.25,6.68,-0.72,31.18,999.42
80.97378182411194,0.21,-0.01,6.37,-0.43,31.18,999.42
80.97871398925781,-0.02,-0.12,6.09,-0.87,31.18,999.42
80.98374104499817,0.28,-0.09,6.59,-0.57,31.18,999.42
80.98877620697021,0.4,-0.29,6.76,-0.6,31.18,999.42
80.99366402626038,0.37,-0.33,6.62,-0.91,31.18,999.42
80.99876499176025,0.47,-0.09,6.74,-0.93,31.18,999.42
81.00442600250244,0.07,0.01,7.07,-1.24,31.18,999.42
81.00895619392395,0.33,-0.15,6.79,-1.39,31.18,999.42
81.01388502120972,-0.24,-0.29,7.0,-1.33,31.18,999.42
81.01877117156982,0.4,-0.16,6.87,-0.96,31.18,999.42
81.02383995056152,-0.24,0.1,6.78,-1.61,31.18,999.42
81.02887892723083,-0.1,0.07,6.92,-1.29,31.18,999.42
81.03382301330566,0.18,-0.01,6.71,-1.15,31.18,999.42
81.03878593444824,0.16,-0.4,6.8,-0.95,31.18,999.42
81.0438060760498,0.46,0.18,6.91,-1.18,31.18,999.42
81.04865598678589,0.47,-0.08,6.62,-1.0,31.18,999.42
81.05377101898193,0.73,0.09,6.43,-1.12,31.18,999.42
81.05893588066101,0.46,-0.13,6.43,-1.45,31.18,999.42
81.06376600265503,0.47,-0.23,6.87,-1.3,31.18,999.42
81.06856107711792,0.32,-0.08,6.79,-1.28,31.18,999.42
81.07374715805054,0.46,0.3,6.86,-1.03,31.18,999.42
81.07876086235046,0.18,-0.04,6.3,-1.55,31.18,999.42
81.08392095565796,0.22,-0.1,6.45,-1.57,31.18,999.42
81.08879899978638,-0.08,-0.09,6.42,-1.69,31.18,999.42
81.09389615058899,-0.65,0.33,6.65,-1.96,31.18,999.42
81.09886884689331,-0.53,0.14,6.08,-1.53,31.18,999.42
81.10396409034729,-0.39,0.17,5.75,-1.4,31.18,999.42
81.1088080406189,-0.25,0.09,5.86,-1.58,31.18,999.42
81.11382293701172,0.23,-0.18,6.43,-1.15,31.18,999.42
81.11875796318054,0.22,0.0,6.25,-1.3,31.18,999.42
81.12375211715698,-0.08,-0.04,6.74,-1.63,31.18,999.42
81.12875699996948,0.28,-0.17,6.57,-1.15,31.18,999.42
81.13392996788025,-0.15,-0.02,5.97,-1.43,31.18,999.42
81.13878202438354,-0.46,-0.35,6.64,-1.52,31.18,999.42
81.14380621910095,-0.21,0.01,6.63,-1.17,31.18,999.42
81.14878988265991,0.57,-0.32,6.66,-1.15,31.18,999.42
81.15386891365051,0.18,-0.07,6.32,-1.54,31.18,999.42
81.15882802009583,0.23,-0.3,6.5,-0.97,31.18,999.42
81.16379308700562,0.16,0.06,6.37,-1.15,31.18,999.42
81.1687970161438,0.27,-0.04,6.23,-1.0,31.18,999.42
81.1737551689148,0.59,-0.37,6.55,-1.06,31.18,999.42
81.1788489818573,0.58,-0.17,6.83,-1.18,31.18,999.42
81.18368101119995,0.2,-0.16,6.88,-1.31,31.18,999.42
81.18877005577087,-0.15,-0.48,6.48,-1.34,31.18,999.42
81.19380021095276,0.3,-0.23,6.55,-1.09,31.18,999.42
81.19895100593567,0.19,-0.14,6.56,-1.16,31.18,999.42
81.20379686355591,0.04,0.0,6.32,-1.5,31.15,999.42
81.20875406265259,0.06,-0.32,6.64,-1.21,31.15,999.42
81.21383380889893,0.15,-0.27,6.6,-1.06,31.15,999.42
81.2189450263977,0.18,-0.12,6.33,-1.27,31.15,999.42
81.22376704216003,0.23,-0.37,6.51,-1.32,31.15,999.42
81.22885608673096,0.18,-0.37,6.41,-1.46,31.15,999.42
81.23379707336426,-0.07,-0.29,6.53,-1.36,31.15,999.42
81.23887991905212,-0.25,-0.21,6.14,-1.27,31.15,999.42
81.24397301673889,-0.34,-0.22,6.2,-1.59,31.15,999.42
81.24882698059082,-0.2,-0.12,6.38,-1.41,31.15,999.42
81.2537829875946,-0.65,-0.19,6.41,-1.12,31.15,999.42
81.2588038444519,-0.17,-0.04,6.68,-1.68,31.15,999.42
81.26375317573547,0.34,0.06,6.52,-1.51,31.15,999.42
81.26877617835999,0.27,0.0,6.32,-1.0,31.15,999.42
81.2738049030304,0.42,-0.17,6.42,-1.38,31.15,999.42
81.27880001068115,0.53,-0.03,6.67,-1.32,31.15,999.42
81.28374910354614,0.54,-0.04,6.73,-1.47,31.15,999.42
81.28876304626465,0.2,-0.35,7.11,-1.41,31.15,999.42
81.2936999797821,0.22,-0.36,6.7,-1.35,31.15,999.42
81.29859709739685,0.58,-0.14,6.82,-1.46,31.15,999.42
81.30404591560364,0.46,-0.17,7.0,-1.58,31.15,999.42
81.30882596969604,-0.35,0.17,6.46,-1.38,31.15,999.42
81.31384801864624,-0.01,-0.32,6.12,-1.19,31.15,999.42
81.31884098052979,-0.34,-0.33,6.31,-1.36,31.15,999.42
81.32378101348877,-0.03,-0.4,6.46,-1.61,31.15,999.42
81.32884907722473,-0.15,-0.2,6.2,-1.31,31.15,999.42
81.33374309539795,-0.03,-0.11,6.12,-1.56,31.15,999.42
81.33876395225525,-0.17,-0.17,6.06,-1.4,31.15,999.42
81.34379005432129,0.15,-0.01,6.32,-1.09,31.15,999.42
81.34895086288452,0.26,-0.17,6.33,-1.28,31.15,999.42
81.3537609577179,0.4,-0.01,6.27,-1.16,31.15,999.42
81.35873985290527,0.09,0.38,6.36,-1.2,31.15,999.42
81.36378407478333,-0.19,0.27,6.49,-1.57,31.15,999.42
81.3686912059784,-0.55,0.18,6.19,-1.38,31.15,999.42
81.37385416030884,0.01,0.11,5.89,-1.15,31.15,999.42
81.37877106666565,0.16,-0.35,6.31,-1.12,31.15,999.42
81.38386702537537,-0.12,-0.33,6.54,-1.18,31.15,999.42
81.38882899284363,0.1,-0.07,6.35,-0.91,31.15,999.42
81.39375710487366,0.06,-0.4,6.88,-1.16,31.15,999.42
81.39820098876953,0.21,-0.29,6.41,-0.97,31.15,999.42
81.40320611000061,0.21,-0.29,6.41,-0.97,31.21,999.42
81.4087347984314,-0.09,0.0,6.47,-1.16,31.21,999.42
81.41357398033142,0.07,-0.36,6.55,-1.38,31.21,999.42
81.41898703575134,0.35,-0.23,6.16,-1.09,31.21,999.42
81.42375588417053,-0.31,-0.16,6.24,-1.31,31.21,999.42
81.42876100540161,0.51,-0.28,6.42,-1.46,31.21,999.42
81.43372893333435,0.11,-0.23,6.82,-1.16,31.21,999.42
81.43875908851624,0.08,-0.26,6.54,-1.25,31.21,999.42
